Title,Summary,Link to Consultation,Date Received by Lambeth Cyclists,Original Estimated Date of Completion,Consultation Deadline,Tags,Locations,Lambeth Cyclist Thoughts,Links to Google Drive Attachments,Project Type,Action Required,AI Key Points
A23 Brixton Hill Cycling Crossing - Lambert Road/Josephine Avenue Junction,"Lambeth Cyclists are pushing for a cycling-friendly crossing at A23 Brixton Hill via Lambert Road and Josephine Avenue junction. TfL installed a pedestrian-only crossing at St Saviours Road instead, which did not address cyclist needs. The group proposes a cost-effective scheme that would link two Lambeth LTNs and provide connectivity on the London Cycle Network route.",,"July 6, 2025 → July 6, 2025",,,"LTN, cycle_crossing, cycle_network","A23 Brixton Hill,Lambert Road,Josephine Avenue,St Saviours Road,Brixton Town Centre,A23 Streatham",,,infrastructure_project,response_needed,
Removal of Electric Scooter and Dockless Cycle Hire Bays - Borough-wide,"Lambeth proposes to remove electric scooter and dockless cycle hire parking bays across multiple locations borough-wide, replacing them with standard parking or waiting restrictions. This will affect cycle hire availability and potentially impact cycling infrastructure access across 21+ locations.",,"July 11, 2025 → July 11, 2025",,"July 31, 2025 → July 31, 2025","cycle_hire, micro_mobility, parking","Abbotswood Road,Blenheim Gardens,Brantwood Road,Bromell's Road,Cavendish Road,Duchy Street,Frazier Street,Gresham Road,Guernsey Grove,Helix Road,Lakeview Road,Launcelot Street,Morrish Road,Ravensdon Street,Renfrew Road,Rymer Street,Stannary Street,The Cut,Valleyfield Road,Vauxhall Grove,Bicknell Road,Concert Hall Approach",,https://docs.google.com/document/d/1G4YtnV8oIIBsOJr2Z9qNacbCN5s4t3EZ/edit?usp=drivesdk&ouid=117978934978557979351&rtpof=true&sd=true,traffic_order,response_needed,
Proposed Removal of Electric Scooter and Dockless Cycle Hire Bays - Ref 131,"Lambeth Council is proposing to remove electric scooter and dockless cycle hire bays from multiple locations. This could impact cycling infrastructure and shared mobility options for cyclists in the borough. The consultation runs until July 24th, 2025.",,"July 4, 2025 → July 4, 2025",,"July 24, 2025 → July 24, 2025","cycle_hire, micromobility, parking",,,https://drive.google.com/file/d/1OhvTGu8QQnjIWpJ4RRlweOxW-tH_t0gQ/view?usp=drivesdk,consultation,response_needed,
Lambeth Bridge Works - Next Phase Cycle Access Arrangements,"Lambeth Bridge will have full weekend closure 25-28 July 2025 affecting all cyclists. From 28 July, new southbound cycle lane opens but northbound cyclists must share traffic lane with no segregation until December 2025. Works continue until mid-December with ongoing vehicle restrictions.",,"July 15, 2025 → July 15, 2025","December 15, 2025 → December 15, 2025",,"bridge_works, cycle_lane, traffic_management","Lambeth Bridge,Millbank South,Horseferry Road,Millbank North,Lambeth Palace Road,Lambeth Road",,,infrastructure_project,monitoring,
Tulse Hill West CPZ (Zone J) Introduction and Zone F/H Amendments,New controlled parking zone covering Tulse Hill West area with 10am-4pm restrictions Monday-Friday. Includes changes to existing zones and e-scooter parking provisions. No specific cycling infrastructure mentioned but parking changes may affect cycling conditions on local streets.,,"July 25, 2025 → July 25, 2025",,"August 15, 2025 → August 15, 2025","CPZ, parking, traffic_order","Elm Park,High Trees,Hillside Road,Kinfauns Road,Kingsmead Road,Lanercost Road,Leander Road,Leigham Vale,Ostade Road,Palace Road,Northstead Road,Tulse Hill,Upper Tulse Hill,Christchurch Road",,https://docs.google.com/document/d/1ycMQm-iq7UOOXoNghBQNmbjFDDD-ptmh/edit?usp=drivesdk&ouid=117978934978557979351&rtpof=true&sd=true,traffic_order,response_needed,
Disabled Bays Batch 9 - Traffic Order Consultation (Ref 156),"Lambeth Council consultation on new disabled parking bay installations under Batch 9. While primarily focused on disabled parking provision, changes to parking arrangements can affect cycling infrastructure and road space allocation. Attachment content unavailable for detailed location analysis.",,"August 7, 2025 → August 7, 2025",,"August 28, 2025 → August 28, 2025","accessibility, parking, traffic_order",,,https://drive.google.com/file/d/1d4a8_QIDEn0BPZu6w0CVi-ZMmHqL9LYp/view?usp=drivesdk,traffic_order,response_needed,
Stockwell Gardens Healthy Neighbourhoods - Traffic Filters Consultation,"Lambeth Council proposes experimental traffic filters in the Stockwell Gardens area under a Healthy Neighbourhoods scheme. The filters will include exemptions for emergency vehicles, which could create a low traffic neighbourhood benefiting cyclists by reducing through traffic.",,"August 15, 2025 → August 15, 2025",,"August 27, 2025 → August 27, 2025","LTN, healthy_neighbourhoods, traffic_filters",Stockwell Gardens,,https://drive.google.com/file/d/1jWMHH6e1B_QVsskcX2S9cZu6xawQCSgp/view?usp=drivesdk,traffic_order,response_needed,
Clapham High Street C7 Cycle Lane Downgrade Following Resurfacing,"TfL has permanently removed 50% of protective wands on the westbound C7 mandatory cycle lane during resurfacing works on Clapham High Street and Clapham Road. The changes include removal of blue paint markings, C7 wayfinding signs, and wands around the dangerous Lendal Terrace junction, representing a significant safety downgrade.",,"August 29, 2025 → August 29, 2025",,,"C7, cycle_lane, infrastructure_downgrade","Clapham High Street,Clapham Road,Bedford Road,Aristotle Road,Lendal Terrace,Tremadoc Road,St Lukes Avenue",,,infrastructure_project,response_needed,
Vauxhall Pleasure Gardens Healthy Neighbourhood - Traffic Filters Implementation,"Lambeth proposes introducing traffic filters on six streets (Glasshouse Walk, Vauxhall Street, Sancroft Street, Newburn Street, St. Oswald's Place and Tyers Street) to create a Healthy Neighbourhood in the Vauxhall Pleasure Gardens area. The scheme includes pedestrian and cycle zones, new cycle stands, and supporting changes to parking restrictions. Implementation is planned as an experimental Traffic Order starting November 17, 2025.",,"September 16, 2025 → September 16, 2025","November 17, 2025 → November 17, 2025","September 26, 2025 → September 26, 2025","LTN, healthy_neighbourhood, traffic_filters","Glasshouse Walk,Vauxhall Street,Sancroft Street,Newburn Street,St. Oswald's Place,Tyers Street,Vauxhall Pleasure Gardens,Albert Embankment,Kennington Lane",,https://drive.google.com/file/d/1pPFuSISFZuZ2DI1At5eq5aQ0SvrwfWEp/view?usp=drivesdk,traffic_order,response_needed,
Streets for People - London Bridge Area Consultation,"Southwark Council is consulting on ideas to transform the London Bridge area including contraflow cycling, cycle storage, and traffic reduction measures. The proposals aim to enable safer and more sustainable journeys as part of the Streets for People programme.",,"September 25, 2025 → September 25, 2025",,"October 19, 2025 → October 19, 2025","contraflow_cycling, cycle_storage, public_realm",London Bridge area,,https://drive.google.com/file/d/1x1xdDJlkAQ3uisXA6SFU2WBA6iBEkpZf/view?usp=drivesdk,consultation,response_needed,
Lambeth Bridge Additional Nighttime Closures for Resurfacing Works,"Lambeth Bridge will have additional nighttime closures (21:00-05:00) on December 2-3 and potentially December 4-5 due to incomplete weekend surfacing works. Cyclists will be prohibited during closure hours, but pedestrian access maintained throughout.",,"December 1, 2025 → December 1, 2025","December 25, 2025 → December 25, 2025",,"bridge_closure, public_realm, resurfacing",Lambeth Bridge,,,infrastructure_project,monitoring,
